Sr. No.,STATE_NAME,DISTRICT_NAME,BLOCK_NAME,HABITATION_NAME,HAB_CODE,MASTER_FACILITY_DESC,ADDRESS,FILE_UPLOAD_DATE,MASTER_FACILITY_CATEGORY_NAME,SUB_CATEGORY,LATITUDE,LONGITUDE
2752,Haryana,Rohtak,Lakhan Majra,chiri,228476,community health centre,chiri,15-Sep-19,Medical ,Community Health Centre,29.07281559,76.55684844
2753,Haryana,Hisar,Hisar I,Dabra,238902,Medical,"VPO- Sabra, Dist- Hisar",13-Sep-19,Medical ,Bedded Hospital,29.1191653,75.74665414
2754,Haryana,Hisar,Hisar I,Dabra,238902,Addar Hospital,"VPO- Sabra,Dist- Hisar",13-Sep-19,Medical ,Bedded Hospital,29.119043,75.7466896
2755,Haryana,Jhajjar,Jhajjar,Jhajjar,461705,Civil hospital jhajjar,jhajjar,30-Oct-19,Medical ,Bedded Hospital,28.60744372,76.6423146
2756,Haryana,Jind,Jind,Darya Wala,251502,Aayusmaan bharat health velnes centre,Driyawala,12-Sep-19,Medical ,Bedded Hospital,29.34949625,76.23764291
2757,Haryana,Sirsa,Rania,Mohamad Puria,709078,Community health center,Mohamadpuria ,08-Sep-19,Medical ,Community Health Centre,29.56597288,74.81425566
2758,Haryana,Palwal,Palwal,Chhaju Nagar,1262475,CH HIRALAL MEMORIAL HOSPITAL,CHHAJJU NAGAR,14-Sep-19,Medical ,Bedded Hospital,28.11326195,77.36708105
2759,Haryana,Hisar,Adampur,Chuli Bagrian,235623,CHC,chuli bagaria,10-Sep-19,Medical ,Community Health Centre,29.29028747,75.38558573
2760,Haryana,Sonepat,Rai,Badh Khalsa,62625,SUB HEALTH CENTRE,BADH KHALSA,24-Aug-19,Medical ,Community Health Centre,28.91237855,77.11738765
2761,Haryana,Panchkula,Raipur Rani,Raipur Rani,889659,CHC,Raipur rani,22-Aug-19,Medical ,Community Health Centre,30.58363165,77.02577024
2762,Haryana,Kurukshetra,Ladwa,Ladwa,612529,health centre ladwa,ladwa,22-Aug-19,Medical ,Community Health Centre,29.99625942,77.04474798
2763,Haryana,Kurukshetra,Ladwa,Ladwa,612529,community health center ,ladwa,25-Oct-19,Medical ,Community Health Centre,29.99632833,77.0452
2764,Haryana,Panchkula,Pinjore,Maranwala,681976,SimranHospital,marranwala,13-Sep-19,Medical ,Bedded Hospital,30.89729669,76.82809395
2765,Haryana,Panchkula,Pinjore,Maranwala,681976,Wellness centre ,Marranwala,13-Sep-19,Medical ,Bedded Hospital,30.90130906,76.82972662
2766,Haryana,Bhiwani,Bawani Khera,Jatai,456764,chc,jatai,05-Sep-19,Medical ,Community Health Centre,29.01475537,76.17587855
2767,Haryana,Kurukshetra,Thanesar,Mathana 364,685737,community health centre,mathana ,17-Sep-19,Medical ,Community Health Centre,29.98337159,76.95257935
2768,Haryana,Hisar,Hisar-II,Mater Sham,687909,Aayurvedic DISPENSERY,Mattersham,13-Sep-19,Medical ,Community Health Centre,29.17921478,75.59534786
2769,Haryana,Karnal,Karnal,Pundrak,870028,community hospital,pundrak,07-Sep-19,Medical ,Community Health Centre,29.71982833,76.94165833
2770,Haryana,Yamuna Nagar,Chhachhrauli,Kharwan,550305,CHHABRA HOSPITAL PVT,KHARWAN,27-Aug-19,Medical ,Bedded Hospital,30.19762895,77.35998387
2771,Haryana,Bhiwani,Loharu,Loharu,629877,Jain Sai hospital,loharu,10-Sep-19,Medical ,Bedded Hospital,28.43280926,75.80159723
2772,Haryana,Bhiwani,Loharu,Loharu,629877,sunglasses hospital ,Loharu ,11-Sep-19,Medical ,Bedded Hospital,28.42626752,75.8080506
2773,Haryana,Yamuna Nagar,Radaur,Khajuri,540668, gov aayurvedik dispensary ,khajuri,27-Aug-19,Medical ,Community Health Centre,30.05262073,77.25686484
2774,Haryana,Sonepat,Gohana,Khanpur Kalan,546041,Medical,Khanpur Kalan ,16-Sep-19,Medical ,Bedded Hospital,29.15021354,76.80648627
2775,Haryana,Sirsa,Rania,Rania,910702,CHC,Rania,07-Sep-19,Medical ,Community Health Centre,29.52776552,74.83683456
2776,Haryana,Rewari,Jatusana,Motla Kalan,718276,community health center ,motlakalan,15-Sep-19,Medical ,Community Health Centre,28.30241193,76.46963437
2777,Haryana,Karnal,Karnal,Kharkwali,549281,primary helth centet,vpo Kharkali,01-Feb-20,Medical ,Bedded Hospital,29.60266113,76.97621763
2778,Haryana,Bhiwani,Loharu,Loharu,629877,CHC LOHARU ,Loharu ,10-Sep-19,Medical ,Community Health Centre,28.42794177,75.8111088
2779,Haryana,Bhiwani,Loharu,Loharu,629877,duddi hospital,loharu,10-Sep-19,Medical ,Bedded Hospital,28.43317814,75.80302816
2780,Haryana,Bhiwani,Loharu,Loharu,629877,nirmal children hospital ,Loharu ,10-Sep-19,Medical ,Bedded Hospital,28.42824609,75.80808068
2781,Haryana,Kurukshetra,Ismailabad,Jhansa 299,1282882,community health centre,jhansa,25-Aug-19,Medical ,Community Health Centre,30.11479433,76.73610737
2782,Haryana,Sonepat,Murthal,Barauli,1282963,SUB HEALTH CENTRE,BARAULI,23-Aug-19,Medical ,Community Health Centre,29.01063374,77.16335296
2783,Haryana,Faridabad,Faridabad,Kheri Khurd,555658,Health centre Kheri khurd,Village kheri khurd District Faridabad,23-Aug-19,Medical ,Community Health Centre,28.40887051,77.37301851
2784,Haryana,Rewari,Nahar,KOSLI,582144,ECHS polyclinic kosli,Kosli,15-Sep-19,Medical ,Community Health Centre,28.40101227,76.48166465
2785,Haryana,Rewari,Nahar,KOSLI,582144,Govt Hospital Kosli,Kosli,15-Sep-19,Medical ,Community Health Centre,28.40552497,76.48229691
2786,Haryana,Rewari,Nahar,BAHALA,70084,Sub primary health centre,Bahala,16-Sep-19,Medical ,Community Health Centre,28.41542572,76.29443437
2787,Haryana,Karnal,Gharaunda,Kohand,570400,Mata Kalawati Hospital Kohand,Village Kohand,07-Sep-19,Medical ,Bedded Hospital,29.49329833,76.96786167
2788,Haryana,Rohtak,Rohtak,Bahmanwas,71390,shaheed chandershekhar azad hospital,brahamwas,17-Sep-19,Medical ,Bedded Hospital,28.97180808,76.62959418
2789,Haryana,Karnal,Gharaunda,Dadlana,239949,Community Health Center Dadlana,Village Dadlana,08-Sep-19,Medical ,Community Health Centre,29.49383167,76.89343333
2790,Haryana,Palwal,Hathin,Hudithal,1262397,chc,hudithal,15-Sep-19,Medical ,Community Health Centre,28.04583254,77.19106958
2791,Haryana,Palwal,Palwal,Jaindapur,1262504,Govt Ayurvedic Dispensary,Jaindapur,16-Sep-19,Medical ,Community Health Centre,28.20432833,77.206025
2792,Haryana,Yamuna Nagar,Chhachhrauli,Khizrabad,558255,Santosh Hospital,New Bazaar Paunta Road,26-Aug-19,Medical ,Bedded Hospital,30.28534,77.495145
2793,Haryana,Yamuna Nagar,Chhachhrauli,Khizrabad,558255,Shri Guru Ishwar Dass Ji Nirwan Hospital,Paunta Road,26-Aug-19,Medical ,Bedded Hospital,30.283725,77.49234667
2794,Haryana,Rewari,Khol At Rewari,KHOL,559302,Community Health Center,Khol,22-Aug-19,Medical ,Community Health Centre,28.19715606,76.40073678
2795,Haryana,Ambala,Ambala,Khurchanpur,561985,community centre ,khurchanpur ,27-Aug-19,Medical ,Community Health Centre,30.25853123,76.59809908
2796,Haryana,Hisar,Uklana,Uklana,1071067,medical ,uklana,10-Sep-19,Medical ,Community Health Centre,29.49795128,75.87795707
2797,Haryana,Palwal,Palwal,Palwal,1262538,Guru nanak hospital ,Palwal ,15-Sep-19,Medical ,Bedded Hospital,28.14869058,77.33515926
2798,Haryana,Palwal,Palwal,Palwal,1262538,civil hospital,palwal,16-Sep-19,Medical ,Bedded Hospital,28.1345387,77.327416
2799,Haryana,Kaithal,Kalayat,Kalayat,567583,Fifty Baded Hospital Kalayat,Kalayat,08-Sep-19,Medical ,Bedded Hospital,29.67307428,76.2499795
2800,Haryana,Karnal,Karnal,Darar,250260,Ayush Vibagh Haryana,"Darar , Karnal",04-Sep-19,Medical ,Community Health Centre,29.76127395,77.00595639
2801,Haryana,Jhajjar,Jhajjar,Zahidpur,1112041,Sub Health Centre ,Zahidpur ,24-Aug-19,Medical ,Community Health Centre,28.50566993,76.70810156
2802,Haryana,Hisar,Barwala,Banbhori,86162,medical,banbhori,09-Sep-19,Medical ,Bedded Hospital,29.40896935,76.04765371
2803,Haryana,Sonepat,Mudlana,Jagsi,441769,chc,vpo jagsi,12-Sep-19,Medical ,Community Health Centre,29.24757671,76.65249497
2804,Haryana,Palwal,Palwal,Palwal,1262538,govt hospital,palwal,15-Sep-19,Medical ,Bedded Hospital,28.13591778,77.32682646
2805,Haryana,Sonepat,Kharkhauda,Khanda,544349,Lakshy Hospital and matrinity home,"khanda
",14-Sep-19,Medical ,Bedded Hospital,28.91283667,76.89208833
2806,Haryana,Jhajjar,Sahlawas,Jamalpur,447628,CHC jamalpur,Jamalpur,24-Aug-19,Medical ,Community Health Centre,28.47844083,76.47147741
2807,Haryana,Karnal,Gharaunda,Bastara,112536,RP Welltar hospital Bastara ,Vill  Bastara ,07-Sep-19,Medical ,Bedded Hospital,29.57147291,76.98177248
2808,Haryana,Bhiwani,Bawani Khera,bawani khera,116103,civil hospital,bawani khera,04-Sep-19,Medical ,Bedded Hospital,28.94454057,76.03416648
2809,Haryana,Panipat,Israna,Israna,436159,Dr Shanker Clinic,Israna,24-Aug-19,Medical ,Bedded Hospital,29.27342662,76.85097013
2810,Haryana,Sonepat,Kharkhauda,Kharkhoda,548276,Bedded hospital ,Kharkhoda ,31-Oct-19,Medical ,Community Health Centre,28.8784115,76.91633191
2811,Haryana,Jind,Jind,Jajwan,444147,up health centre,jajwan,12-Sep-19,Medical ,Community Health Centre,29.34535691,76.19735108
2812,Haryana,Palwal,Hodal,Aurangabad,1278246,community health center,Aurangabad,14-Sep-19,Medical ,Community Health Centre,28.02198068,77.33426839
2813,Haryana,Karnal,Indri,Indri,433765,civil hospital,indri,15-Sep-19,Medical ,Community Health Centre,29.87890574,77.05627073
2814,Haryana,Rohtak,Rohtak,Kiloi Khas,564220,community health centre,kiloi khas,14-Sep-19,Medical ,Community Health Centre,28.94360434,76.71784965
2815,Haryana,Rewari,Khol At Rewari,PUNSIKA,870632,sub healthcentre,punsika,27-Aug-19,Medical ,Community Health Centre,28.14992363,76.51658134
2816,Haryana,Gurgaon,Sohna,Raipur,889320,Sifa hospital ,raipur ,26-Sep-19,Medical ,Bedded Hospital,28.22629962,77.06414312
2817,Haryana,Gurgaon,Sohna,Raipur,889320,Indra Gandhi eye eye hospital ,raipur,26-Sep-19,Medical ,Bedded Hospital,28.22481355,77.06343007
2818,Haryana,Gurgaon,Sohna,Raipur,889320,City hospital nd Truma center ,raipur,26-Sep-19,Medical ,Bedded Hospital,28.22498077,77.06357072
2819,Haryana,Mohindergarh,Nizampur,Golwa,1282985,Sub health center,Golwa,22-Aug-19,Medical ,Community Health Centre,27.84404833,76.02890333
2820,Haryana,Mohindergarh,Nizampur,Chhilro,1282992,sharma hospital ,nijampur ,15-Sep-19,Medical ,Bedded Hospital,27.96713163,76.01021368
2821,Haryana,Mohindergarh,Nizampur,Chhilro,1282992,dr fathe Singh hospital ,nijampur ,15-Sep-19,Medical ,Community Health Centre,27.96713729,76.01021343
2822,Haryana,Gurgaon,Farukh Nagar,Jamalpur,447562,M D hospital,Village Jamalpur,03-Sep-19,Medical ,Bedded Hospital,28.37438752,76.83495963
2823,Haryana,Palwal,Hathin,Bighawali,1262378,chc,bighawali,14-Sep-19,Medical ,Community Health Centre,28.08351159,77.15494563
2824,Haryana,Palwal,Hathin,Hathin,1262396,health centre ,hathin,14-Sep-19,Medical ,Community Health Centre,28.04312825,77.23080218
2825,Haryana,Kaithal,Rajound,Rajaund,893713,community health centre,Rajound ,10-Sep-19,Medical ,Community Health Centre,29.57608673,76.48260626
2826,Haryana,Fatehabad,Tohana,Tohana,1061565,Civil Hospital Tohana,Civil Hospital Chandigarh Road Tohana ,29-Sep-19,Medical ,Bedded Hospital,29.70481233,75.90720274
2827,Haryana,Bhiwani,Bawani Khera,Mundhal Khurd,725375,chc,mundhal khurd,05-Sep-19,Medical ,Community Health Centre,29.02324472,76.17659408
2828,Haryana,Palwal,Hathin,Saroli,1262446,Chc,sarouli,14-Sep-19,Medical ,Community Health Centre,28.17253466,77.19510533
2829,Haryana,Palwal,Palwal,Rasulpur,1262553,Jagdish Hospital And Maternity Home,Rasulpur,14-Sep-19,Medical ,Bedded Hospital,28.089835,77.39997833
2830,Haryana,Sonepat,Sonepat,Jahari,442269,contributory health scheme polyclinic,vpo jatwara sonopat,28-Aug-19,Medical ,Bedded Hospital,29.00910833,77.01091833
2831,Haryana,Fatehabad,Ratia,Ratia,915775,CHC CUM BEDDED HOSPITAL RATIA,RATIA BUDHLADA ROAD RATIA,11-Sep-19,Medical ,Bedded Hospital,29.68421597,75.57029642
2832,Haryana,Rewari,Jatusana,DAKHORA,242983,community health center ,Dakhora,15-Sep-19,Medical ,Community Health Centre,28.35263268,76.41249925
2833,Haryana,Jind,Jind,Jhanj Kalan,462693,National health centre,jhanjhkalan,17-Sep-19,Medical ,Community Health Centre,29.37511833,76.27600167
2834,Haryana,Rewari,Jatusana,ROHARAI,924131,community health centres ,Roharai,22-Aug-19,Medical ,Community Health Centre,28.31668309,76.5933608
2835,Haryana,Sonepat,Murthal,Jainpur,1282966,SUB HEALTH CENTER,JAINPUR,23-Aug-19,Medical ,Community Health Centre,29.06874532,77.12905906
2836,Haryana,Sonepat,Murthal,Mehndipur,1282970,SUB HEALTH CENTER,MEHANDIPIR,23-Aug-19,Medical ,Community Health Centre,29.04677447,77.11596116
2837,Haryana,Charkhi Dadri,Dadri-II,Beejna,1262272,laxmi nursing home,bijna,11-Sep-19,Medical ,Bedded Hospital,28.46194806,76.14743475
2838,Haryana,Charkhi Dadri,Dadri-II,Jhojhu Kalan,1262289,Community Health Center,Jhojju Kalan,23-Aug-19,Medical ,Community Health Centre,28.52295631,76.14975963
2839,Haryana,Mewat,Nagina,Nagina,1262705,CHC,nagina ,03-Sep-19,Medical ,Community Health Centre,27.91786228,76.98515365
2840,Haryana,Charkhi Dadri,Dadri-I,bond khurd,1262214,CHC ,Bond kalan,10-Sep-19,Medical ,Community Health Centre,28.78093693,76.33703989
2841,Haryana,Bhiwani,Bhiwani,Kharak Kalan,547521,hospital ,kharak kalan,07-Sep-19,Medical ,Bedded Hospital,28.82362242,76.30666933
2842,Haryana,Palwal,Hassanpur,Kushak,1262349,Health Center,Kushak,14-Sep-19,Medical ,Community Health Centre,28.036045,77.47944167
2843,Haryana,Palwal,Hassanpur,Kushak,1262349,Health centre,Kushak,15-Sep-19,Medical ,Community Health Centre,28.03607333,77.47947833
2844,Haryana,Mewat,Nuh,NALHAR,1262812,Shaheed hasan khan Mewati Govt Medical college  ,Nalhar,22-Aug-19,Medical ,Bedded Hospital,28.09278259,76.97283048
2845,Haryana,Palwal,Hathin,Buraka Hathin,1262382,chc,buraka,14-Sep-19,Medical ,Community Health Centre,28.0439605,77.20783476
2846,Haryana,Palwal,Palwal,Bamnika,1262468,sanjeevan hospital,bamnika,14-Sep-19,Medical ,Bedded Hospital,28.0557685,77.345556
2847,Haryana,Mewat,Nagina,MANDIKHERA,1262700,Al afia CIVIL hospital ,Mandikhera ,16-Sep-19,Medical ,Bedded Hospital,27.8998762,76.9945977
2848,Haryana,Palwal,Hodal,Hodal,1278263,Fifty Bedded Hospital,Hodal,15-Sep-19,Medical ,Bedded Hospital,27.89478779,77.36648679
2849,Haryana,Palwal,Hodal,Bahrola,1278252,eye charitable Hospital,Behrola,14-Sep-19,Medical ,Bedded Hospital,28.08814244,77.33778662
2850,Haryana,Palwal,Hodal,Sundhad,1278284,CHC,Sondh,15-Sep-19,Medical ,Community Health Centre,27.91263878,77.31668651
2851,Haryana,Mohindergarh,Nizampur,Karoli,1282996,community health center ,karoli,23-Aug-19,Medical ,Community Health Centre,27.99873937,76.0282087
2852,Haryana,Gurgaon,Sohna,Kadarpur,592250,Hospital,CRPF Kadarpur,29-Oct-19,Medical ,Bedded Hospital,28.38187333,77.100895
2853,Haryana,Jind,Uchana Kalan,Uchana Kalan,1067979,50 Bedded hospital,uchana  Kalan,06-Aug-19,Medical ,Bedded Hospital,29.47734337,76.18808936
2854,Haryana,Sonepat,Murthal,Jhundpur,1282968,SUB HEALTH CENTRE,JHUNDPUR,24-Aug-19,Medical ,Community Health Centre,28.95305157,77.16686368
2855,Haryana,Sonepat,Murthal,Pipli Khera,1282955,sub health centre,pipli khera,29-Aug-19,Medical ,Community Health Centre,29.0968956,77.06699452
2856,Haryana,Mohindergarh,Nizampur,Musnota,1282987,Sub Health Center,Musnota,21-Aug-19,Medical ,Community Health Centre,27.88682,76.02745667
2857,Haryana,Gurgaon,Gurgaon,Hayatpur,418267,SHRI SAI MULTI SPECIALITY HOSPITAL,VILLAGE HAYATPUR GURUGRAM,05-Sep-19,Medical ,Bedded Hospital,28.42433935,76.93460709
2858,Haryana,Mohindergarh,Nizampur,Nangal Dargu,1282988,Sub Health Center,Nangal Dargu,21-Aug-19,Medical ,Community Health Centre,27.88889667,76.04423333
2859,Haryana,Jind,Jind,Jhanj Khurd,462694,health senter,jhanjhkhurd,05-Sep-19,Medical ,Community Health Centre,29.37509167,76.27608833
2860,Haryana,Jind,Jind,Jhanj Khurd,462694,community health centre,jhanjhkhurd,17-Sep-19,Medical ,Community Health Centre,29.37043833,76.27947667
2861,Haryana,Karnal,Gharaunda,Pundri,870035,PHC pundri ,pundri,06-Sep-19,Medical ,Community Health Centre,29.47861867,77.02775565
2862,Haryana,Sonepat,Ganaur,Purkhas Rathi,879765,shri jain muni bhagmal ji maharaj health centre,pukhas,29-Aug-19,Medical ,Community Health Centre,29.10455333,76.94839333
2863,Haryana,Jind,Jind,Rajpura,894201,community health  center ,Rajpura,14-Sep-19,Medical ,Community Health Centre,29.29398373,76.22559108
2864,Haryana,Palwal,Hathin,Kukkar Chati,1262413,chc,kukarchatti,15-Sep-19,Medical ,Community Health Centre,28.02183859,77.19247226
2865,Haryana,Ambala,Saha,Behta,1283044,primary health center ,Bhita ,25-Aug-19,Medical ,Bedded Hospital,30.27155667,76.95326167
2866,Haryana,Mohindergarh,Satnali,Satnali,1283137,Community Health center,Stanali,07-Sep-19,Medical ,Community Health Centre,28.37799167,75.96388167
2867,Haryana,Sirsa,Dabwali,Risaliakhera,923187,health and wellness center,Rosalia khera,27-Aug-19,Medical ,Community Health Centre,29.71387219,74.77003552
2868,Haryana,Sirsa,Dabwali,Risalia Khera,923188,health and wellness center,Risalia khera,27-Aug-19,Medical ,Community Health Centre,29.71386997,74.77004794
2869,Haryana,Mewat,Nuh,NUH,1262816,community Health Centre,Old GA Road Near Old Tehsil  Nuh,30-Oct-19,Medical ,Community Health Centre,28.0980547,77.0012087
2870,Haryana,Mewat,Punhana,Punahana,1262919,Javed Hospital ,Punhana Pinagwan road Punhana ,15-Sep-19,Medical ,Bedded Hospital,27.87222443,77.19409634
2871,Haryana,Mewat,Punhana,Punahana,1262919,Kiran Hospital and Troma centre,Punhana Kot road Punhana ,15-Sep-19,Medical ,Bedded Hospital,27.87231146,77.2032474
2872,Haryana,Mewat,Punhana,Punahana,1262919,Community Health Centre Punhana,Hodal Punhana Nagina road Punhana ,31-Aug-19,Medical ,Community Health Centre,27.86659824,77.22084104
2873,Haryana,Kurukshetra,Ismailabad,Mohri 217,1282889,adesh hospital,mohri,30-Aug-19,Medical ,Bedded Hospital,30.24816746,76.85328092
2874,Haryana,Palwal,Prithla,Alawalpur,1283004,CHC Alawalpur,Alawalpur,15-Sep-19,Medical ,Community Health Centre,28.18571333,77.39174833
2875,Haryana,Palwal,Prithla,Alawalpur,1283004,c h c ,alawalpur,15-Sep-19,Medical ,Community Health Centre,28.1969015,77.4133573
2876,Himachal Pradesh,Una,Gagret,Gagret Khas,466506,community health center,vpo Gagret,23-Oct-20,Medical ,Community Health Centre,31.66121045,76.05972917
2877,Himachal Pradesh,Chamba,Mehla,Bakan,76181,Community health Centre,Vpo bakan distt chamba hp,17-Mar-21,Medical ,Community Health Centre,32.47119746,76.23191888
2878,Himachal Pradesh,Mandi,Gopalpur,Baldwara Matehri,80143,Badded hospital,VPO BalDwara,24-Jan-21,Medical ,Bedded Hospital,31.55761985,76.76210336
2879,Himachal Pradesh,Shimla,Theog,Balghar,80575,30 Bedded Hospital,Post Office Balghar Tehsil Theog Shimla,20-Feb-21,Medical ,Bedded Hospital,31.06794167,77.395265
2880,Himachal Pradesh,Mandi,Dharampur,Tihra,1055988,Community Health Centre Tihra,"VPO Tihra Teh Dharampur
",21-Oct-20,Medical ,Community Health Centre,31.75566068,76.66603303
2881,Himachal Pradesh,Sirmaur,Pachhad,Baru,108149,Akal Charitable Hospital Baru Sahib,Village and post office Baru Sahib Tehsil Pachhad,04-Mar-21,Medical ,Bedded Hospital,30.75581659,77.2991881
2882,Himachal Pradesh,Chamba,Salooni,Saroga,959770,Govt Civil Hospital Kihar,Village Sarog PO Kihar Teh Salooni Distt Chamba HP,05-Feb-21,Medical ,Bedded Hospital,32.7654,75.966465
2883,Himachal Pradesh,Kangra,Dehra Gopipur,Seer Loharan,968008,Ayurvedic Health Centre Seer Loharan,VPO Seer Loharan Sub Tehsil Haripur,29-Dec-20,Medical ,Community Health Centre,31.95553682,76.19721465
2884,Himachal Pradesh,Shimla,Chauhara,Sandasu,948094,Community Health Centre at Sandasu,Village sandasu PO Khashadhar Tehsil Chirgaon,26-Feb-21,Medical ,Community Health Centre,31.2368758,77.8969253
2885,Himachal Pradesh,Sirmaur,Sangrah,Sangrah,949553,Community Health Centre Sangrah,VPO  Sangrah Tehsil Sangrah Distt Sirmaur,23-Nov-20,Medical ,Community Health Centre,30.69651149,77.41926646
2886,Himachal Pradesh,Sirmaur,Pachhad,Sarahan Khurd,954308,Bedded Hospital at Sarahan,Village and post office  Sarahan Tehsil Pachhad ,05-Mar-21,Medical ,Bedded Hospital,30.72051076,77.18862654
2887,Himachal Pradesh,Kangra,Nagrota Bagwan,Kalaid Khas,486143,Govt Dispensary Kalaid Khas,VPO  Kalaid Khas ,24-Dec-20,Medical ,Community Health Centre,32.11561334,76.33464916
2888,Himachal Pradesh,Chamba,Mehla,Karian,513594,NHPC hospital Karian,Village karian PO karian Tehsil and Distt Chamba,29-Dec-20,Medical ,Bedded Hospital,32.526701,76.1426855
2889,Himachal Pradesh,Una,Gagret,Kaloh,492450,Ayurvedic Health center,vpo kaloh,24-Nov-20,Medical ,Community Health Centre,31.64620803,76.058456
2890,Himachal Pradesh,Shimla,Jubbal and Kothai,Jubbal,471859,Civil Hospital Jubbal,Village and Post office Jubbal,03-Mar-21,Medical ,Bedded Hospital,31.10839142,77.66252887
2891,Himachal Pradesh,Shimla,Mashobra,Junga,473267,Bedded hospital junga,Village junga Post Office junga,17-Feb-21,Medical ,Bedded Hospital,31.02321628,77.1872195
2892,Himachal Pradesh,Bilaspur,Bilaspur Sadar,Kandror,502151,Ayurvedic Hospital Kandrour,"Village and Post office Kandrour
",23-Feb-21,Medical ,Bedded Hospital,31.39272887,76.75396769
2893,Himachal Pradesh,Kullu,Anni,Dalash,244598,Community Health Centre  Dalash,VPO Dalash Teh Anni Distt Kullu HP ,04-Mar-21,Medical ,Community Health Centre,31.39243192,77.43817497
